,log2fc,padj
CMTM4,0.4371544607338711,0.004707378279192911
IRF8,0.5032617752526916,0.004707378279192911
NPC1,0.5534453970206945,0.004707378279192911
ULK2,0.4717956054801018,0.004707378279192911
SNTB1,0.48603104430248045,0.004707378279192911
DERL3,0.6032568210892543,0.004707378279192911
TRIM44,0.516231964047579,0.004707378279192911
EIF4G1,0.4030702846997478,0.004707378279192911
RHBDD1,0.4091888406691808,0.004707378279192911
BMF,0.3764672509848124,0.004707378279192911
FBXW11,0.4827141401670687,0.004707378279192911
MTPAP,0.48395520908383016,0.004707378279192911
PEA15,0.44649190364238756,0.004707378279192911
OSCAR,0.9761315722882462,0.004707378279192911
ZNF491,0.4336031112351002,0.004707378279192911
MGAT5,0.4828251713139764,0.004707378279192911
EXOSC6,0.578855301250635,0.004707378279192911
DOCK10,0.6427504878236157,0.004707378279192911
NAAA,0.39249689453390957,0.004707378279192911
DDI2,0.48406478643604167,0.004746649345711718
GSAP,0.5402039321357677,0.004811358920844322
SAR1B,0.5653708556191184,0.004837328439916312
BMAL2,0.33929868846355105,0.004837328439916312
ARHGAP32,0.5288053758406792,0.004837328439916312
DUSP10,0.3783676276810528,0.004837328439916312
FAM114A1,0.31236952312995414,0.004837328439916312
VPS13C,0.6770525679725328,0.004837328439916312
GNPDA1,0.42103509950603835,0.004865170408928307
SORT1,0.4815717990931496,0.004865170408928307
DDX52,0.7140418001664273,0.004865170408928307
BIRC6,0.5971584279145068,0.004870515942034316
EFTUD2,0.39686806993676527,0.004902978640839954
TIAM1,0.5494609274534952,0.004902978640839954
C2CD2,0.5054273435133902,0.004902978640839954
SYNE2,0.6320084225326683,0.004902978640839954
MTO1,0.48802409776724964,0.004902978640839954
SEC23IP,0.48945066176415075,0.004902978640839954
ANKRD50,0.5048351839356906,0.004902978640839954
TMEM14B,0.4763668550645592,0.004902978640839954
DAGLA,0.388143638279592,0.004902978640839954
CD4,0.47274942227286054,0.004902978640839954
ABHD10,0.5288728914393532,0.004902978640839954
OPN3,0.45234261172261814,0.004902978640839954
PARS2,0.3656356146680153,0.004902978640839954
RANBP6,0.6938220006806981,0.004902978640839954
GLUD1,0.4470287373570061,0.004902978640839954
NNT,0.5405265430641215,0.004902978640839954
OXSM,0.4712290324048076,0.004902978640839954
SEC61A1,0.42987061784442737,0.004902978640839954
NAA25,0.5860038054109586,0.004902978640839954
QTRT2,0.4859120156779646,0.004902978640839954
ECPAS,0.44612517478907154,0.004902978640839954
KLHL9,0.620498165463391,0.004902978640839954
LRBA,0.6219081437109173,0.004902978640839954
TOGARAM1,0.4827098345276202,0.004902978640839954
SETBP1,0.5002983335482631,0.004902978640839954
ZNF844,0.47094902217610013,0.004902978640839954
KLF4,0.4764341805562502,0.004902978640839954
KCTD3,0.453922125638867,0.004902978640839954
MTMR11,0.4078191174409138,0.004902978640839954
NEK9,0.48124416557002103,0.004902978640839954
ZNF469,0.393078724506539,0.004902978640839954
ZNF256,0.49674226553694867,0.004902978640839954
SUMF1,0.36328444304060215,0.004902978640839954
EEF1A1P12,0.20802071535996272,0.004902978640839954
SNED1,0.6122622312918673,0.004902978640839954
DTWD2,0.4156594466101682,0.004902978640839954
TRAF3,0.4421922379827592,0.004902978640839954
NUDT3,0.4439766982617739,0.004902978640839954
CLCN5,0.41804528969927945,0.004902978640839954
SLC4A4,0.5318595743039272,0.004902978640839954
SERPINB6,0.4651510044214824,0.004902978640839954
KLF11,0.4643391085548929,0.004902978640839954
N4BP2,0.6778424344658762,0.004902978640839954
SCARB2,0.445987324596099,0.004902978640839954
DDX12P,0.4126090526069549,0.004902978640839954
CAPN3,0.3787524715674415,0.004902978640839954
IRF5,0.3732751289108194,0.004902978640839954
STARD7,0.47935823932658916,0.004902978640839954
TGIF1,0.4862265307046667,0.004902978640839954
PRICKLE1,0.48782787729913224,0.004902978640839954
GTF3C4,0.5555014415192732,0.004902978640839954
ABCD2,0.6953686943740078,0.004902978640839954
TRAPPC11,0.5064986304744075,0.004902978640839954
MAP2K1,0.4437575905205602,0.004902978640839954
NCKAP1L,0.3844150736752594,0.004902978640839954
CRYBG1,0.48461315024463936,0.004902978640839954
NBPF20,0.46495477979323274,0.004902978640839954
ZNF548,0.5772144326781872,0.004902978640839954
UBE3C,0.5287720784522598,0.004902978640839954
SERINC5,0.593690190244855,0.004902978640839954
ASXL2,0.6162242931779325,0.004902978640839954
LRP1,0.43055176929156147,0.004902978640839954
ADGRG6,0.31752483628334266,0.004902978640839954
LONP2,0.5449085169277135,0.004902978640839954
ENSG00000261611,0.5287685897589377,0.004902978640839954
PCBD2,0.4530882543336583,0.004902978640839954
MTMR8,0.29503845823263897,0.004902978640839954
MIS12,0.564659125755782,0.004902978640839954
CLMN,0.5018210303859592,0.004902978640839954
LIMD1,0.4899121010400007,0.00496514031252368
SEH1L,0.4499073432866516,0.00496514031252368
PITRM1,0.4250752959167512,0.0049757849268925085
USP31,0.40014825481869565,0.0049757849268925085
MTSS1,0.4891018556329998,0.0049757849268925085
PTPRM,0.8326601573128101,0.005004908745436115
TSACC,-0.04656199049968002,0.005022904000837325
NARS2,0.481070459089191,0.005023679073823886
ZSCAN18,0.532972906817661,0.005025287614633946
ZNF333,0.5010499036956793,0.005025287614633946
MGA,0.6159590976808058,0.005028216603982321
ENOX2,0.47461123468836286,0.005028216603982321
SH3TC1,0.4723731008159371,0.005028216603982321
DCAF7,0.4410006235025552,0.005028216603982321
KARS1,0.3586275429618908,0.005028216603982321
TPCN2,0.48966183265347585,0.005028216603982321
EME2,0.4109735570757178,0.005028216603982321
BLTP2,0.42591576826891053,0.005028216603982321
FIG4,0.3459038760486761,0.005050055581281341
TSTD2,0.493983020321477,0.00505389987554675
FGD2,0.36861426036877365,0.00505389987554675
C12orf76,0.39706306156551907,0.005060058681906942
GCNT1,0.40536034966988543,0.005060058681906942
CTSH,0.4407443776929165,0.005060058681906942
LUZP1,0.5480668425683333,0.005060058681906942
ZC3H7A,0.4930433551477815,0.005060058681906942
RECQL5,0.3915710610920855,0.005060058681906942
SETDB1,0.3425141172249111,0.005060058681906942
FYCO1,0.5359679559792783,0.005060058681906942
RAD9B,0.2880378167946518,0.005060058681906942
HTR6,0.40738337791146917,0.005060058681906942
COG3,0.5213862926498907,0.005060058681906942
EXOC6B,0.4983147266262713,0.005060058681906942
ALDH3A2,0.4694675928773142,0.005060058681906942
MROH8,0.21576150391893234,0.005060058681906942
FKBP14,0.4621999009376012,0.005060058681906942
CERS6,0.5332338919294415,0.005060058681906942
RECK,0.5814433170863214,0.005060058681906942
ZNF814,0.5314330422196076,0.005093479731090818
ARSB,0.45900438201626015,0.005114107874110971
XPO5,0.47653435163174596,0.005114107874110971
NUP133,0.4803664761567745,0.005114107874110971
APP,0.46431088734539117,0.005114107874110971
IPO8,0.5181611859502748,0.005114107874110971
ANKRD27,0.453906095772191,0.005114107874110971
MTHFD1,0.4320584783559456,0.005114107874110971
DDIAS,0.48142118701094283,0.005114107874110971
SEPTIN2,0.4924233480050848,0.005114107874110971
SPINT2,0.3510453828307627,0.005114107874110971
TEP1,0.4417463617452695,0.005114107874110971
CASP3,0.5488834151607112,0.005114107874110971
RIC1,0.5160815831698891,0.005127999354383143
TASP1,0.42945052383586524,0.005133062732725657
TRAK1,0.4020609699986073,0.005135840807200667
MPEG1,0.46762012881598736,0.005135840807200667
ZNF75D,0.5609828069651956,0.005135840807200667
AGPS,0.5136177348841047,0.005145351610151068
SMARCC1,0.4635318396671746,0.005145351610151068
ZNF225,0.45466448813220817,0.005152162591428435
FRYL,0.5783700851657043,0.005152162591428435
HNRNPA1P70,0.31267603300500224,0.005152162591428435
ACTBP2,0.12447268893526847,0.005159636387933459
ZW10,0.42308775762546036,0.005159636387933459
ZMYM4,0.5311312045363907,0.005160507485724003
SND1,0.3733298441843278,0.005160507485724003
TRPS1,0.5044572123192075,0.005160507485724003
NFE2,-0.34104750231519176,0.005160507485724003
ZNF528,0.619555838241113,0.005160507485724003
ZNF471,0.41706097417693544,0.005160507485724003
RAD54L2,0.5345979934953693,0.005175226846267939
MIDEAS,0.4732128753534086,0.0052004431629232625
DHX35,0.431417186442542,0.0052004431629232625
ATXN10,0.44698428594580086,0.005218772999080871
ETV3,0.4971335511699344,0.0052218190124061975
